,FECHA_DOC,DESCR,COSTO_UNITARIO
0,2022-01-05,"TUB COBRE 5/16""ØX165MM CIRCULA1.5KW127V",52.8
1,2022-01-05,"TUA U"" 5/16 ØX250MM 1200W 120V TAP1""NPT",327.18
2,2022-01-05,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 7 MT,177.68
3,2022-01-05,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,38.96
4,2022-01-05,BAN P INOX 115MMX235MM 1000W 127V T/TOR,101.71
5,2022-01-05,BAN P INOX 55MMX235MM 450W 127V T/TOR,49.41
6,2022-01-05,REPARACION DE BATIDOR 16.6KW 440V,5323.76
7,2022-01-05,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,38.96
8,2022-01-05,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",517.89
9,2022-01-05,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",517.89
10,2022-01-05,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",517.89
11,2022-01-05,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",0.0
12,2022-01-05,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",0.0
13,2022-01-05,BOB 8020 CAL.26 127V BAS28.5CMX27CM MICA,0.0
14,2022-01-05,BC INOX 114MMØX165MM 1500W 230V C/ALLEN,0.0
15,2022-01-05,"PT-100 1/8""ØX30MM EXT 1.5MT 3HILOS Z/ESP",51.73
16,2022-01-05,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",124.0
17,2022-01-05,"TER J 3/16""ØX2"" EXT.2MT CON-1/2"" NPT",0.0
18,2022-01-05,BAN MICA 120mmØx50mm 850W 440V TTORNILLO,0.0
19,2022-01-05,BAN MICA Ø120MM X 50 MM 700W 440V T TOR,0.0
20,2022-01-05,BAN INOX 36MMØX25MM 150W 240V EXT30CM,27.43
21,2022-01-07,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",147.76
22,2022-01-07,PT-100 4MMØX10CM EXT 5MT TEFLON 2HILOS,259.35
23,2022-01-07,"PT-100 DE 1/4""ØX14.5CM EXT 5MT CONECTOR",332.65
24,2022-01-07,REPARACION DE TERMOPAR,0.36
25,2022-01-07,"TUB INOX 7/16""ØX510MM ""U""8000W 440V TAP",1081.89
26,2022-01-07,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",124.0
27,2022-01-07,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",44.14
28,2022-01-07,,489.39
29,2022-01-07,BOBINA CAL.8 DSD C/TERMINALES EN INOX,305.44
30,2022-01-10,"TUB INOX 7/16""ØX490MM U ESP 3200W 220V",295.24
31,2022-01-10,BOBINA CAL.8 DSD C/TERMINALES EN INOX,305.44
32,2022-01-10,"TUB INOX 1/4""ØX6"" 1675W 120V PARRILLA",178.6
33,2022-01-11,"TER J 3/16""ØX1"" EXT.2MTS MALLA Z/ESPADA",68.95
34,2022-01-11,"TER K 3/16""ØX1"" EXT.2MT RES/MALLA INOX",78.32
35,2022-01-11,REPARACION DE SELLADORA PCS-300,5.76
36,2022-01-11,REPARACION DE SELLADORA PCS-200,45.01
37,2022-01-11,BAN INOX 197MMØX152MM 3500W 440V T/TORNI,289.05
38,2022-01-12,"CART INOX 3/8""Øx8"" 340W, 220V CABLE 35CM",64.85
39,2022-01-12,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",0.0
40,2022-01-12,"TUB INOX 1/2""ØX1030MMX980MM 3KW480V ""L""",0.0
41,2022-01-12,"TUB INOX 7/16""ØX80CM 1200W 127V T/TOR",101.71
42,2022-01-12,BOB 8020  CAL.19 79MMØX750MM GAZA 40CM,0.0
43,2022-01-12,"TUB INOX 5/16""ØX50CM 4000W240V ""J"" 1""NPT",0.0
44,2022-01-13,"TER J 3/16""ØX50MM TRANS 1/4""ØX4MM EXT3MT",0.0
45,2022-01-14,"TUB INOX. 5/16""Øx1 MTS 900W, 127V. U TOR",140.29
46,2022-01-14,"TUB INOX 7/16""ØX410MM 2500W220V CIRCULAR",181.88
47,2022-01-14,"TUB INOX 7/16""ØX36.4CM 2500W220V ""M ESP""",249.89
48,2022-01-14,"TUB INOX 5/16""Øx64CMS 700W220V.",48.56
49,2022-01-14,"TUB INOX 5/16""ØX111MM 2500W220V ESPIRAL",0.0
50,2022-01-17,"TUB. INOX. 5/16 Øx615mm. 2000W 440V ""U""""",85.29
51,2022-01-17,"BOQUILLA 11/2X1""1/2"" 300W 240V""",220.0
52,2022-01-17,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT,211.36
53,2022-01-17,"TUB INOX 5/16""ØX110MM 1500W 127V ESPIRAL",242.48
54,2022-01-17,"TUB INOX 5/16""ØX110MM 1500W 240V ESPIRAL",235.56
55,2022-01-17,"TUB INOX 5/16""ØX383MMØX354MM 2KW240V CHI",0.0
56,2022-01-17,"TUB INOX 5/16""ØX383MMØX354MM 2KW240V GDE",0.0
57,2022-01-17,BOB 8020 CAL.19 1612W 127V CER-8CANALES,44.7
58,2022-01-18,"AEROPACK J 1/16""ØX2"" T-1/8""ØX11/2"" EXT1M",4.02
59,2022-01-19,"CAS INOX 1/2""ØX 2 1/2"" 400W220V EXT.30CM",69.23
60,2022-01-19,"CAS INOX 1/2""ØX 2 1/2"" 400W220V EXT.30CM",69.23
61,2022-01-19,BC PLANA INOX 52MMX60CM 750W 220V T/TOR,556.14
